id,number of sources it appears,annotation count
704,1,3
713,1,24
717,1,1
719,1,1
723,2,154
732,1,1
735,1,89
736,1,3
740,2,42
757,1,2831
799,1,210
818,1,15
919,1,2087
922,1,3
923,2,935
924,2,5
957,1,11
991,1,157
1001,4,170
1020,1,1
1025,1,2
1027,2,4240
1049,5,7091
1051,1,1564
1063,1,68
1064,3,2242
1105,1,100
1107,1,5
1108,1,526
1109,1,3
1111,1,9
1113,1,53
1123,1,18
1124,3,1746
1126,1,965
1127,4,3059
1129,1,222
1130,1,16
1131,1,841
1132,1,18
1137,2,107
1144,2,107
1155,2,60044
1156,1,411
1158,2,461
1159,4,7479
1160,1,8
1161,3,2102
1189,4,55766
1266,6,273
1343,4,10
636,4,4342
538,1,87
658,1,19
660,2,3098
663,3,603
670,3,432
805,2,6
1014,3,265
1255,3,18
1256,3,1206
1591,9,3711
1715,1,11
1716,1,31
1717,1,665
1727,1,2
1728,1,6
1908,4,4311
1910,2,12
2026,2,987
2041,3,65
2120,1,2
2126,3,90
2433,1,8
2468,1,1
3432,1,3
1400,4,47289
1402,2,15756
1404,2,783
1419,2,1016
1420,2,977
1421,2,29
1422,2,1995
1428,5,152
1444,7,784
1449,1,1
1450,1,1
259,1,72
1177,5,197
1182,3,13
1356,2,13
1372,3,28
1741,4,201003
1766,6,8167
1779,4,51
1792,3,117
1544,2,630
1545,2,493
1547,1,55
1554,2,203
1555,2,1228
1557,4,110
1559,2,211
1568,1,1
1570,2,2120
1571,7,1708
1573,1,9
1574,2,110
1576,1,181
1577,2,37
1579,2,343
1584,1,2
1646,1,121
725,2,75
1008,1,3479
1060,1,20
1460,1,270
1462,2,1863
1464,1,98
1465,1,160
1466,1,81
1470,1,889
1471,4,1313
1472,1,19
1474,1,1
1475,1,14397
1477,2,56
1479,1,6
1480,1,302
1481,1,1
1482,1,13
1484,1,40
1485,1,2
1486,1,1
1490,1,14
1491,1,9
1497,3,751
1498,3,25223
1500,1,1902
1501,1,830
1502,1,313
1503,1,4136
1504,1,4
1506,1,2
1507,1,228
1511,1,234
1514,1,14
1515,1,180
1516,1,5
1518,1,113
1521,1,29
1523,1,1
1524,1,3
1525,1,1
1528,1,180
1529,1,257
1534,1,280
1535,1,3
1536,1,1709
1537,1,2
1538,1,213
1542,1,12
1587,2,17676
1588,1,2
1589,1,799
1590,1,101
1616,1,1
1617,2,41
1622,1,101
1623,1,2925
1627,1,7426
1630,1,2592
1631,1,60740
1632,1,1158
1633,1,268
1634,1,4747
1635,2,2764
1636,5,3666
1637,4,31909
1638,6,13002
1639,6,94640
1641,1,7
1660,1,18
1667,1,956
1672,1,23
1677,1,414
1678,1,92
1685,1,25
1686,1,304
1689,1,1
1690,1,1574
1692,1,195
1693,1,608
1696,1,1356
1697,1,7065
1698,1,13
1699,1,1
1706,2,2594
1708,2,48853
1709,1,13417
1710,1,92
1712,1,1
1714,1,6691
3076,1,17
191,3,590
1608,3,30
1609,2,433
1611,1,1
1612,3,4196
1613,3,26
391,1,18
140,5,10050
1387,3,37
1388,1,18
1592,2,11074
272,1,344
284,3,248
346,1,18
1451,1,118
1839,2,3287
1606,3,3
241,2,239
1749,1,18
1750,1,27
1751,1,161
430,3,1304
796,2,3080
1251,2,11
1257,1,471
1679,1,109
1736,4,444
1907,2,1363
1909,2,2828
1999,1,7747
2000,1,2
2027,2,9
2115,1,5
2121,1,3
2122,1,2922
2123,1,3
2124,2,1057
3089,2,129
354,1,4
751,1,39
961,2,106
962,2,218
1046,1,284
1755,1,56
1756,1,157
1757,1,1781
1759,1,5
1760,2,365
1761,2,25
1765,1,50
684,2,351
1038,1,353
1821,1,6402
1822,1,168
1825,1,6039
1826,1,86174
2074,2,183
2076,1,2
231,6,305
1806,3,133
2113,1,73
2116,1,20
424,2,281
1912,2,1920
1916,1,8
1920,1,655
1925,2,592
1928,1,545
1930,2,2
1932,1,4
1934,1,17
1935,2,30
1938,2,282
1940,2,255
1945,1,1
1946,2,16
1947,1,204
1948,2,142
1959,1,3
1962,2,7278
1965,3,151
1966,1,4
1967,1,1
1969,2,187
1972,2,13141
1975,1,1
1978,1,1
1982,1,1
1983,1,54
1984,2,15
1986,1,1
1987,1,6
1989,1,66
1990,1,17
1991,2,27
1992,1,5
1993,1,297
2002,1,1
2004,1,1
2005,1,43
2006,1,1
2007,2,20
2008,1,1
2009,1,4
2010,2,28
2014,1,3
2015,1,3
2016,1,2
2019,1,3
2021,1,5
2023,1,26
2024,2,2
2030,1,443
1866,3,52
1917,1,1
1921,1,1
1923,1,1
1927,1,3
1929,1,1
1931,1,32
1937,1,230
1939,1,26
1942,2,122
1950,1,2
1951,1,20
1955,1,22
1957,1,1
1963,1,92
1964,2,60
1970,1,5
1971,1,17
1973,1,5
2003,1,3
2017,1,8
2020,1,2
2028,1,85
2029,1,4
2031,1,3
87,1,365
255,1,805
792,7,2885
828,1,2
1994,2,2040
1997,1,748
1998,3,5484
2040,6,540
2091,1,1
2114,3,16875
2157,2,783
2244,1,136
2368,2,44
2373,1,63
3186,1,17785
3285,1,17321
2434,1,668
2435,1,1014
2436,1,480
225,1,4
229,3,273
230,1,14
247,1,6
252,2,340
280,1,995
295,1,47
296,1,19
297,1,350
301,2,2296
302,2,316
303,2,39
308,2,112
313,1,726
318,2,557
683,1,578
979,1,22
1100,1,95
1250,1,76
1253,1,69
1718,1,673
1719,1,3522
1720,1,199
1721,2,142
1722,3,968
1723,2,6
1724,1,29
1725,1,44
1730,1,22
1731,1,9
1733,1,12
1734,1,22
1735,1,20
1737,1,31
1738,3,2867
2090,1,295
2142,1,61
2144,1,5
2149,1,2
2093,2,68040
2094,2,365
2095,2,1436
2096,2,20123
2097,3,29714
2098,2,22986
2099,4,233847
2101,2,26191
1558,1,91
1572,1,12
1645,1,154
2108,1,7711
2109,1,13
2111,1,13
2112,1,9
2560,1,60
3073,1,79
3078,1,8
3084,1,1
3289,1,1
3290,1,1
620,1,41
2052,1,24
2117,2,3141
2118,2,1197
756,1,775
906,2,41
1098,1,70
1656,1,150
349,1,920
2138,2,230
2139,2,1942
2140,1,2589
2141,1,1688
2169,1,428
2432,1,3
984,1,11
2147,4,237
2252,1,23
279,2,78
486,1,311
1841,1,269
2129,1,197
2130,1,337
2131,1,2
2132,1,4994
2133,1,144
2135,1,11
2150,1,18
2158,1,53
2159,1,5
2480,2,83
2145,2,12
2146,2,45
2153,1,47295
2154,2,4364
2155,2,800
2156,1,104
2236,1,70
2243,1,281
1768,4,2175
1773,3,230
1797,1,58
2536,2,84
2542,2,40
2547,1,4324
2563,3,390
2232,1,1200
2233,1,6885
2844,1,1130
207,3,16
208,4,1437
3064,2,8
2246,2,48154
2247,2,13044
2248,2,24660
2410,1,13
1005,1,289
1814,1,463
2366,1,19117
2367,1,344
2371,3,1527
2430,1,10
2210,1,5
2421,1,1
2613,1,5
2614,1,3
2881,1,1630
3027,1,21
2498,4,13
1860,2,16
2178,3,11
2194,2,66
2479,3,43
2481,1,1
2484,1,3
2488,3,28
1798,4,3537
2443,1,75
2444,1,2
2445,1,32
2448,1,28
2449,1,7
2527,1,11907
2530,1,419
2549,3,45958
2550,1,960
2551,1,935
2557,1,1834
2558,1,3953
2559,1,2376
2561,1,21
2975,1,6
2976,1,34
2977,1,289
3005,1,8
3006,1,13
3036,1,66
3037,1,271
3038,1,12
3053,1,14748
3057,1,4
3058,1,20
3065,1,4
3066,1,4
3067,1,8
3068,1,165
3069,1,2
253,1,4
989,2,179
1175,5,23727
1569,1,12
2374,2,396
2427,4,226
2442,2,55087
2471,1,756
2593,4,86
2602,7,371
2796,1,6
2797,1,116
2798,1,454
2801,1,231
2802,1,1
2805,1,9
2806,1,3
2807,1,65
2810,1,53
2811,1,33
2812,1,5837
2813,1,5
2814,1,1
2817,1,5
2818,1,2542
2820,1,1
2823,1,27
2824,1,4
2825,1,184
2836,1,165
2839,1,3
2840,1,1089
2841,1,4923
2842,1,900
2855,2,55
2880,1,8
2956,1,60
2957,1,16
2971,1,7
3074,1,9
3075,1,28
3079,1,6
3083,1,36
3091,1,902
209,1,9
213,1,1
2489,1,32
2491,1,58
2492,1,10
2493,1,36
2497,1,138
2499,1,1
2503,1,63
2508,1,4
2509,1,5
2516,1,10
286,1,16
396,2,20
1452,2,7
1780,1,2
1782,1,1
1793,1,3
1796,1,28
2456,1,1
2476,3,367
2477,2,72
2478,1,22
1956,1,3
1851,1,850
2619,4,2639
2627,4,542
2780,3,149
3384,1,1288
3475,1,78
3492,1,8
2054,2,12
2162,1,2
2375,3,41
2426,3,24
2519,5,95
2520,4,519
2524,3,33
2526,1,1
2045,1,2
2053,3,25
2522,1,17
2523,1,1
2618,3,997
2622,4,329
2625,3,127
2626,1,151
2628,4,1753
2630,4,2558
2631,3,927
2634,3,36
2635,2,11
2636,2,8
2637,3,12
2638,2,9
2639,2,7
2640,3,662
2641,2,13
2649,3,4312
2651,4,2923
2652,2,269
2655,2,55
2658,2,2
2660,3,116
2661,3,52
2662,3,36
2666,3,6
2668,2,4
2671,3,75
